,ParkName,UnitCode,ParkType,TrafficCount1,CountLocation,latitude,longitude,TrafficCountDay1,CountID,TrafficCountDay2,TrafficCount2,TrafficCountDay3,TrafficCount3,TrafficCountDay4,TrafficCount4,TrafficCountDay5,TrafficCount5,TrafficCountDay6,TrafficCount6,TrafficCountDay7,TrafficCount7,TrafficCountDay8,TrafficCount8,TrafficCountDay9,TrafficCount9,TrafficCountDay10,TrafficCount10,TrafficCountDay11,TrafficCount11,TrafficCountDay12,TrafficCount12
0,Acadia NP,ACAD,National Park,1620,SAND BEACH,44.32920490000001,-68.181973,52.25806451612904,22,67.0,1876,118.48387096774192,3673,287.5,8625,829.483870967742,25714,1731.466666666667,51944,2439.612903225807,75628,2436.8387096774195,75542,2022.233333333333,60667,1527.2903225806451,47346,198.36666666666667,5951,93.77419354838707,2907
1,Acadia NP,ACAD,National Park,1950,SCHOODIC,44.36674710000001,-68.05806109999999,62.903225806451616,23,64.28571428571429,1800,83.87096774193549,2600,110.0,3300,240.41935483870967,7453,495.73333333333335,14872,747.4516129032259,23171,770.4516129032259,23884,626.9,18807,371.51612903225805,11517,91.66666666666669,2750,58.064516129032256,1800
2,Amistad NRA,AMIS,National Recreation Area,2697,BLACK BRUSH POINT,29.4744412,-100.9860561,87.0,24,56.32142857142857,1577,85.6774193548387,2656,78.86666666666666,2366,135.29032258064515,4194,100.43333333333334,3013,162.5483870967742,5039,101.58064516129032,3149,61.63333333333333,1849,88.35483870967742,2739,46.53333333333333,1396,82.80645161290323,2567
3,Amistad NRA,AMIS,National Recreation Area,2600,BOX CANYON,29.523555,-101.1532421,83.87096774193549,25,91.71428571428572,2568,41.032258064516135,1272,189.6,5688,177.83870967741936,5513,130.5,3915,162.5483870967742,5039,162.5483870967742,5039,119.2,3576,129.06451612903226,4001,71.16666666666667,2135,74.41935483870971,2307
4,Amistad NRA,AMIS,National Recreation Area,3673,DIABLO EAST,29.4778891,-101.01669,118.48387096774192,26,140.10714285714286,3923,173.0,5363,277.0,8310,230.03225806451616,7131,187.03333333333333,5611,232.0,7192,151.77419354838707,4705,170.43333333333334,5113,164.93548387096774,5113,121.93333333333334,3658,77.7741935483871,2411
5,Amistad NRA,AMIS,National Recreation Area,1679,GOVERNORS LANDING,29.4788825,-101.028699,54.161290322580655,27,75.35714285714286,2110,78.7741935483871,2442,102.6,3078,99.29032258064517,3078,136.3,4089,166.74193548387098,5169,166.74193548387098,5169,92.83333333333331,2785,237.09677419354838,7350,214.3333333333333,6430,192.1290322580645,5956
6,Amistad NRA,AMIS,National Recreation Area,500,PECOS RIVER,29.70442019999999,-101.3607156,16.129032258064516,28,21.142857142857142,592,8.580645161290322,266,24.2,726,25.096774193548388,778,16.233333333333334,487,23.0,713,8.741935483870968,271,17.9,537,32.32258064516129,1002,11.6,348,16.096774193548384,499
7,Amistad NRA,AMIS,National Recreation Area,1842,ROUGH CANYON ROAD,29.5733935,-100.9771678,59.41935483870968,29,102.28571428571428,2864,40.58064516129032,1258,247.16666666666663,7415,181.74193548387098,5634,143.63333333333333,4309,182.03225806451616,5643,182.03225806451616,5643,148.83333333333334,4465,144.03225806451613,4465,46.3,1389,123.64516129032258,3833
8,Amistad NRA,AMIS,National Recreation Area,352,SAN PEDRO,29.4680955,-100.9535237,11.35483870967742,30,11.357142857142858,318,10.258064516129034,318,15.466666666666667,464,14.967741935483868,464,10.766666666666667,323,10.709677419354838,332,10.709677419354838,332,11.066666666666665,332,10.709677419354838,332,10.566666666666666,317,16.580645161290324,514
9,Amistad NRA,AMIS,National Recreation Area,300,SPUR 406,29.5514644,-101.0218275,9.677419354838714,31,9.214285714285714,258,8.32258064516129,258,27.0,810,15.419354838709678,478,15.933333333333335,478,30.935483870967737,959,30.935483870967737,959,17.233333333333334,517,16.677419354838708,517,17.233333333333334,517,16.677419354838708,517
